num_particles,velocity,forces_x,forces_y,forces_z,radius,yzarea
4.0,0.024210526315789474,2.0221094395437464e-09,2.0739600041197655e-08,-1.581477329605265e-13,0.0005,2.036671905280244e-06
4.0,0.02894736842105263,3.4638842533125444e-09,2.0843941600902883e-08,-1.7558211475231104e-11,0.0005,2.5142060872729633e-06
4.0,0.03368421052631579,2.6519565953330463e-09,2.109554519232146e-08,-2.2810478086326953e-10,0.0005,1.559137632323876e-06
4.0,0.03842105263157895,5.13466163146388e-09,2.0758396600884534e-08,-1.8530815037457063e-11,0.0005,2.511855742938076e-06
4.0,0.04315789473684211,4.130842530803351e-09,2.1627786033279466e-08,3.8701633771452706e-10,0.0005,2.034321339742662e-06
4.0,0.04789473684210527,4.442931030346818e-09,2.096912676968094e-08,-1.1254818171590982e-11,0.0005,1.559137632323876e-06
4.0,0.052631578947368425,5.223504747928096e-09,2.1074694816624918e-08,8.638530973830605e-11,0.0005,2.034321333315078e-06
4.0,0.05736842105263158,9.369387070148276e-09,2.104195980088297e-08,6.113481427496295e-10,0.0005,2.5142060952636485e-06
4.0,0.06210526315789474,7.319227369177217e-09,2.1425236954507886e-08,1.0275266392462701e-10,0.0005,2.036671881999902e-06
4.0,0.0668421052631579,6.6739193989081975e-09,2.2373632637716767e-08,-1.584582942635845e-09,0.0005,1.7008197442065722e-06
4.0,0.07157894736842106,1.1879698663756417e-08,1.9821940087754457e-08,-3.0847349838466655e-12,0.0005,2.1445364022352025e-06
4.0,0.07631578947368421,1.0898703992442534e-08,2.0854641541313384e-08,-9.833712897789218e-10,0.0005,1.7299364731697732e-06
4.0,0.08105263157894736,9.508835954298217e-09,2.2224031054728864e-08,8.960617848426724e-10,0.0005,2.034321468747325e-06
4.0,0.08578947368421053,6.503203656866592e-09,2.1213573347050296e-08,-6.103572803713994e-13,0.0005,7.79568834313217e-07
4.0,0.09052631578947369,1.6764059701454817e-08,2.0807567391132903e-08,-1.1776135732524113e-09,0.0005,2.146886841062672e-06
4.0,0.09526315789473684,1.270726522787801e-08,1.9551082663233303e-08,-1.393821058046157e-09,0.0005,1.7008197024930011e-06
4.0,0.1,2.120250015732585e-08,1.9120270771780107e-08,-2.767887916875777e-10,0.0005,2.5095053230457057e-06
5.0,0.01,7.340530328423216e-10,2.6123054497290948e-08,1.816854746493443e-10,0.0005,2.034321333315078e-06
5.0,0.01473684210526316,1.1457139790527087e-09,2.6316223102218097e-08,-1.6054238811091267e-13,0.0005,1.559137679532749e-06
5.0,0.019473684210526317,2.0519058100929126e-09,2.632527803950634e-08,-1.9229208282717773e-13,0.0005,2.212171561899463e-06
5.0,0.024210526315789474,2.4206809818905082e-09,2.649288484989999e-08,5.972168523809074e-11,0.0005,2.0366718615258434e-06
5.0,0.02894736842105263,3.1511458873611382e-09,2.601945897083649e-08,-3.7438919508163696e-10,0.0005,2.5095054027193556e-06
5.0,0.03368421052631579,3.2271491246066935e-09,2.6168134881804645e-08,6.239111436205146e-11,0.0005,2.5095053230457057e-06
