num_particles,velocity,forces_x,forces_y,forces_z,radius,yzarea,Reynolds number,C_d,Refinement
15.0,0.06497435897435898,-3.2289566448120024e-09,1.031133590226381e-07,3.586712412257711e-09,0.0005,5.3257419428627035e-06,14.994502571584707,-0.28722886586469704,2.0
15.0,0.06497435897435898,-8.465051430117907e-09,7.632040715911866e-08,-1.892311684168398e-10,0.0005,5.3257419428627035e-06,14.994502571584707,-0.7530008573096405,3.0
15.0,0.06497435897435898,-5.498615555030205e-09,7.888048291660493e-08,1.0707898609598198e-09,0.0005,5.3257419428627035e-06,14.994502571584707,-0.48912428484751663,4.0
15.0,0.07776923076923077,1.5895167967167658e-08,7.777093003846032e-08,-6.285391406196955e-11,0.0005,5.3257419428627035e-06,17.94724794775707,0.9869596361703372,1.0
15.0,0.07776923076923077,2.9407801298045056e-09,1.0265304578183615e-07,3.4352618846362118e-09,0.0005,5.3257419428627035e-06,17.94724794775707,0.18259834013480972,2.0
15.0,0.07776923076923077,-1.8660289314218293e-08,7.475121637698392e-08,-4.2578849726849367e-10,0.0005,5.3257419428627035e-06,17.94724794775707,-1.1586510057921593,3.0
15.0,0.07776923076923077,-8.402588249290095e-09,7.886893236887498e-08,9.0147162431372e-10,0.0005,5.3257419428627035e-06,17.94724794775707,-0.5217318532612037,4.0
15.0,0.09056410256410256,2.250700816417503e-08,7.743805131467889e-08,-2.7405709729146335e-10,0.0005,5.3257419428627035e-06,20.89999332392943,1.0305177327887989,1.0
15.0,0.09056410256410256,9.569500777765877e-09,1.0214615754781041e-07,3.3032907689582764e-09,0.0005,5.3257419428627035e-06,20.89999332392943,0.43815420394794186,2.0
15.0,0.09056410256410256,-2.4042932600426257e-08,7.370577744403431e-08,-6.270679839979154e-10,0.0005,5.3257419428627035e-06,20.89999332392943,-1.1008423781719159,3.0
15.0,0.09056410256410256,-1.0615678503388482e-08,7.862253999020917e-08,7.438059900438822e-10,0.0005,5.3257419428627035e-06,20.89999332392943,-0.4860550484332962,4.0
15.0,0.10335897435897436,2.9105714342725668e-08,7.686718170094137e-08,-4.639159277866219e-10,0.0005,5.3257419428627035e-06,23.852738700101796,1.02313220958465,1.0
15.0,0.10335897435897436,1.7329021216341578e-08,1.014953221453182e-07,3.1302937171508967e-09,0.0005,5.3257419428627035e-06,23.852738700101796,0.6091545996171721,2.0
15.0,0.10335897435897436,-2.9345202366051357e-08,7.292946067673243e-08,-7.786890584308523e-10,0.0005,5.3257419428627035e-06,23.852738700101796,-1.0315507595500972,3.0
15.0,0.10335897435897436,-9.309389613196137e-09,7.786737932264225e-08,5.961755499047151e-10,0.0005,5.3257419428627035e-06,23.852738700101796,-0.32724626692470277,4.0
